Timestamp,Age,Gender,City,Level,Position,Years of experience,Main technology or programming language,Salary (EUR),Main language at work,Company size,Company type,Сontract duration,Age category,Years of experience category,Salary (EUR) category
02/12/2019 11:18:26,33.0,Male,Berlin,Senior,Fullstack Developer,13,PHP,64000.0,English,50-100,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:18:35,29.0,Male,Berlin,Middle,Backend Developer,3,Python,55000.0,English,10-50,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 11:18:56,,Male,Berlin,Middle,Mobile Developer,4,Kotlin,70000.0,English,1000+,Startup,Unlimited contract,Unknown,<5,"[50000,100000)"
02/12/2019 11:19:08,30.0,Male,Berlin,Senior,Backend Developer,6,PHP,63000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:19:37,32.0,Male,Berlin,Senior,Embedded Developer,10,C/C++,66000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:20:30,33.0,Male,Berlin,Middle,Machine Learning Engineer,11,Python,80000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:21:26,34.0,Male,Berlin,Senior,Backend Developer,12,Java,85000.0,English,50-100,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:21:31,38.0,Male,Berlin,Head,Manager,15,Not Relevant,81000.0,German,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:21:38,,Male,Berlin,Lead,Mobile Developer,8,Swift,66000.0,English,100-1000,Product,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 11:21:52,29.0,Male,Berlin,Senior,Mobile Developer,7,Kotlin,65000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:21:55,27.0,Male,Berlin,Middle,Fullstack Developer,7,Javascript / Typescript,63000.0,English,10-50,Startup,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:22:36,31.0,Male,Berlin,Senior,Backend Developer,8,Go,65000.0,English,100-1000,Product,Temporary contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:22:43,23.0,Male,Berlin,Senior,DevOps,6,AWS,83000.0,English,10-50,Startup,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:23:23,27.0,Male,Berlin,Senior,"Designer (UI, UX)",9,Not Relevant,66000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:23:31,33.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,70000.0,English,10-50,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:24:20,,Male,Berlin,Senior,Backend Developer,7,Java,80000.0,English,100-1000,Startup,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 11:24:53,31.0,Male,Berlin,Middle,Mobile Developer,6,Swift,72000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:24:54,34.0,Male,Berlin,Senior,Backend Developer,10,Java,87000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:25:24,33.0,Male,Berlin,Senior,DevOps,12,Kubernetes,90000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:25:36,31.0,Male,Berlin,Senior,Data Scientist,6,Python,78000.0,English,1000+,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:25:49,24.0,Male,Berlin,Middle,Machine Learning Engineer,2,C/C++,70000.0,English,10-50,Startup,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 11:26:09,28.0,Male,Hamburg,Senior,Backend Developer,7,PHP,55000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:27:04,32.0,Male,Frankfurt,Senior,DevOps,12,Not Relevant,160000.0,German,1000+,Unknown,Unknown,"[30,40)","[10,20)","[150000,200000)"
02/12/2019 11:27:41,27.0,Male,Berlin,Senior,Data Engineer,5,Python,75000.0,English,1000+,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:30:24,32.0,Male,Berlin,Senior,DevOps,13,Not Relevant,60000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:30:34,32.0,Male,Berlin,Senior,DevOps,7,AWS,72000.0,English,1000+,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:31:32,38.0,Male,Berlin,Senior,Backend Developer,16,Ruby,80000.0,English,up to 10,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:31:55,,Male,Munich,Unknown,Data Scientist,7,Python,85000.0,English,10-50,Consulting / Agency,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 11:32:46,31.0,Male,Berlin,Senior,QA,9,Java,67000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:32:52,31.0,Male,Berlin,Senior,Backend Developer,8,PHP,60000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:32:59,32.0,Male,Berlin,Senior,Software Architect,13,Java,78600.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:36:20,44.0,Male,Berlin,Senior,Backend Developer,20,.NET,60000.0,German,50-100,Consulting / Agency,Unlimited contract,"[40,50)","[20,30)","[50000,100000)"
02/12/2019 11:37:44,26.0,Male,Berlin,Unknown,Backend Developer,6,PHP,65000.0,English,Unknown,Startup,Unknown,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:37:53,31.0,Male,Berlin,Senior,Backend Developer,7,PHP,60000.0,English,10-50,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:39:53,36.0,Male,Berlin,Senior,Backend Developer,11,PHP,65000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:41:59,33.0,Male,Berlin,Middle,Backend Developer,4,Java,58000.0,German,1000+,Product,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 11:44:10,37.0,Male,Berlin,Senior,Data Engineer,16,Scala,65000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:45:24,29.0,Male,Berlin,Senior,Backend Developer,11,Javascript / Typescript,190000.0,English,up to 10,Startup,Unlimited contract,"[20,30)","[10,20)","[150000,200000)"
02/12/2019 11:45:54,33.0,Male,Berlin,Senior,Backend Developer,9,Java,69000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 11:46:17,35.0,Male,Frankfurt,Middle,Business Analyst,15,Not Relevant,72000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:46:58,35.0,Male,Cologne,Senior,Backend Developer,4,Java,67000.0,English,50-100,Startup,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 11:48:35,31.0,Male,Berlin,Senior,Backend Developer,10,Clojure,75000.0,English,10-50,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
