Timestamp,Age,Gender,City,Position,Years of experience,Level,Salary (EUR),Employment status,Сontract duration,Main language at work,Company size,Company type,Lost job due to the coronavirus outbreak,Age category,Years of experience category,Salary (EUR) category
24/11/2020 11:14:15,26.0,Male,Munich,Software Engineer,5.0,Senior,80000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:14:16,26.0,Male,Berlin,Backend Developer,7.0,Senior,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:14:21,29.0,Male,Berlin,Software Engineer,12.0,Lead,120000.0,Self-employed (freelancer),Temporary contract,English,100-1000,Product,Yes,"[20,30)","[10,20)","[100000,150000)"
24/11/2020 11:15:24,28.0,Male,Berlin,Frontend Developer,4.0,Junior,54000.0,Full-time employee,Unlimited contract,English,50-100,Startup,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:15:46,37.0,Male,Berlin,Backend Developer,17.0,Senior,62000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:15:53,32.0,Male,Berlin,DevOps,5.0,Senior,76000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:16:35,37.0,Male,Berlin,Frontend Developer,6.0,Middle,57000.0,Full-time employee,Unlimited contract,English,10-50,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:16:44,24.0,Male,Berlin,Frontend Developer,5.0,Senior,65000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:17:24,29.0,Male,Berlin,Backend Developer,8.0,Senior,56000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:17:50,35.0,Male,Berlin,Software Engineer,15.0,Lead,95000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:18:06,32.0,Female,Hamburg,Data Engineer,2.0,Junior,52500.0,Full-time employee,Unlimited contract,German,100-1000,Consulting / Agency,No,"[30,40)",<5,"[50000,100000)"
24/11/2020 11:18:16,,Male,Berlin,Software Engineer,25.0,Senior,100000.0,Self-employed (freelancer),Temporary contract,English,10-50,Product,Yes,Unknown,"[20,30)","[100000,150000)"
24/11/2020 11:18:22,,Unknown,Berlin,Software Engineer,,Lead,90000.0,Full-time employee,Unlimited contract,English,1000+,Unknown,No,Unknown,Unknown,"[50000,100000)"
24/11/2020 11:18:26,34.0,Male,Berlin,Software Engineer,14.0,Senior,70000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:18:40,28.0,Male,Berlin,Designer (UI/UX),11.0,Senior,75000.0,Full-time employee,Unlimited contract,English,1000+,Product,Yes,"[20,30)","[10,20)","[50000,100000)"
24/11/2020 11:18:41,31.0,Male,Wolfsburg,Backend Developer,5.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Consulting / Agency,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:18:52,29.0,Male,Hamburg,Backend Developer,7.0,Middle,60350.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:19:10,41.0,Male,Berlin,Product Manager,18.0,Senior,78000.0,Full-time employee,Unlimited contract,English,50-100,Startup,Yes,"[40,50)","[10,20)","[50000,100000)"
24/11/2020 11:20:03,27.0,Male,Berlin,Backend Developer,8.0,Senior,60000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:20:49,34.0,Male,Berlin,Mobile Developer,11.0,Lead,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:21:10,34.0,Male,Berlin,DevOps,13.0,Senior,103000.0,Full-time employee,Unlimited contract,English,1000+,Product,Unknown,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 11:21:18,34.0,Male,Berlin,Software Architect,15.0,Lead,100000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 11:22:57,25.0,Male,Berlin,Software Engineer,5.0,Senior,65000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:23:11,59.0,Male,Berlin,Backend Developer,30.0,Senior,69000.0,Full-time employee,Unlimited contract,German,100-1000,Product,No,"[50,60)",>=30,"[50000,100000)"
24/11/2020 11:23:53,36.0,Male,Berlin,Software Engineer,17.0,Lead,70000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:25:03,38.0,Male,Berlin,Team Lead,18.0,Lead,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,Yes,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:25:20,24.0,Male,Berlin,DevOps,6.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:25:32,37.0,Male,Berlin,Test manager,6.0,Middle,47400.0,Full-time employee,Unlimited contract,German,1000+,Other,No,"[30,40)","[5,10)","[20000,50000)"
24/11/2020 11:25:35,,Male,Berlin,DevOps,14.0,Senior,67000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,Unknown,"[10,20)","[50000,100000)"
24/11/2020 11:26:16,40.0,Male,Berlin,Product Manager,13.0,Senior,70000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[40,50)","[10,20)","[50000,100000)"
24/11/2020 11:26:59,29.0,Male,Berlin,Software Engineer,6.0,Lead,85000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:27:34,31.0,Male,Berlin,Backend Developer,5.0,Middle,65000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:27:39,29.0,Female,Berlin,QA Engineer,7.0,Middle,45000.0,Full-time employee,Unlimited contract,English,50-100,Startup,No,"[20,30)","[5,10)","[20000,50000)"
24/11/2020 11:27:49,39.0,Male,Berlin,Software Engineer,8.0,Senior,80000.0,Full-time employee,Unlimited contract,English,50-100,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:28:12,27.0,Male,Berlin,Software Engineer,8.0,Middle,63000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:28:14,33.0,Male,Berlin,Data Scientist,5.0,Lead,150000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[150000,200000)"
24/11/2020 11:28:58,28.0,Female,Berlin,Designer (UI/UX),7.0,Middle,45000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[20,30)","[5,10)","[20000,50000)"
24/11/2020 11:29:18,30.0,Male,Berlin,Software Engineer,8.0,Senior,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:29:38,28.0,Male,Berlin,Backend Developer,5.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:29:55,38.0,Male,Berlin,DevOps,10.0,Senior,70000.0,Full-time employee,Unlimited contract,English,50-100,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:30:00,29.0,Male,Berlin,Frontend Developer,7.0,Senior,72000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:30:11,49.0,Male,Berlin,Software Engineer,15.0,Senior,67000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[40,50)","[10,20)","[50000,100000)"
24/11/2020 11:30:21,32.0,Male,Berlin,Frontend Developer,10.0,Senior,105000.0,Self-employed (freelancer),Temporary contract,English,100-1000,Product,Yes,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 11:30:38,33.0,Female,Berlin,Software Engineer,12.0,Senior,88000.0,Full-time employee,Unlimited contract,English,1000+,Product,Unknown,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:30:45,30.0,Male,Berlin,Software Engineer,6.0,Senior,74000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:31:01,48.0,Male,Berlin,Software Engineer,25.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[40,50)","[20,30)","[50000,100000)"
24/11/2020 11:31:38,28.0,Female,Berlin,Designer (UI/UX),5.0,Senior,60000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:31:45,32.0,Male,Berlin,Backend Developer,3.0,Middle,77000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)",<5,"[50000,100000)"
24/11/2020 11:31:50,38.0,Female,Berlin,Backend Developer,12.0,Senior,70000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:31:51,31.0,Male,Berlin,Software Engineer,7.0,Lead,76000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:32:11,35.0,Male,Berlin,Backend Developer,10.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:32:24,28.0,Female,Berlin,Designer (UI/UX),7.0,Middle,45000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[20,30)","[5,10)","[20000,50000)"
24/11/2020 11:32:28,29.0,Female,Berlin,QA Engineer,8.0,Senior,60000.0,Full-time employee,Unlimited contract,English,50-100,Startup,Yes,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:32:48,32.0,Male,Berlin,Backend Developer,8.0,Senior,65000.0,Full-time employee,Unlimited contract,English,10-50,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:32:57,44.0,Male,Berlin,Backend Developer,12.0,Senior,68000.0,Full-time employee,Unlimited contract,English,10-50,Product,No,"[40,50)","[10,20)","[50000,100000)"
24/11/2020 11:33:08,,Male,Berlin,Software Engineer,,Senior,75000.0,Full-time employee,Unknown,English,Unknown,Unknown,No,Unknown,Unknown,"[50000,100000)"
24/11/2020 11:33:33,35.0,Male,Munich,Software Engineer,11.0,Senior,65000.0,Full-time employee,Unlimited contract,German,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:33:45,33.0,Male,Munich,DevOps,15.0,Lead,90000.0,Full-time employee,Unlimited contract,Unknown,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:33:46,29.0,Male,Berlin,Software Engineer,5.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:33:51,66.0,Male,Munich,Software Engineer,40.0,Lead,70000.0,Full-time employee,Unlimited contract,German,50-100,Product,No,>=60,>=30,"[50000,100000)"
24/11/2020 11:35:25,39.0,Female,Berlin,Software Engineer,10.0,Senior,70500.0,Full-time employee,Unlimited contract,German,100-1000,Consulting / Agency,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:36:44,28.0,Male,Munich,Backend Developer,5.0,Senior,72000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:37:39,34.0,Male,Munich,Frontend Developer,5.0,Senior,73500.0,Full-time employee,Unlimited contract,English,10-50,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:37:52,34.0,Male,Munich,Software Engineer,13.0,Lead,72000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:38:10,32.0,Male,Munich,Frontend Developer,7.0,Senior,62000.0,Full-time employee,Unlimited contract,German,100-1000,Consulting / Agency,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:38:14,38.0,Male,Stuttgart,Hardware Engineer,15.0,Lead,83000.0,Full-time employee,Unlimited contract,English,1000+,Product,Unknown,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:38:15,32.0,Male,Berlin,Data Scientist,10.0,Head,110000.0,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 11:38:22,45.0,Male,Schleswig-Holstein,Software Engineer,26.0,Senior,93000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[40,50)","[20,30)","[50000,100000)"
24/11/2020 11:39:21,48.0,Male,London,Data Engineer,23.0,Unknown,110000.0,Full-time employee,Temporary contract,English,up to 10,Other,Yes,"[40,50)","[20,30)","[100000,150000)"
